\\NASSY\Music\Ramones\(1981) Pleasant Dreams\11 - This Business Is Killing Me.mp3	-1
\\NASSY\Music\Various Artist -  Punk Goes Pop (Volume 3)\01-breathe_carolina-down.mp3	-1
\\NASSY\Music\Green Day Complete Official Discography (1990-2012) [WwW.LoKoTorrents.CoM]\1997 - Nimrod\08. Platypus (I Hate You).mp3	-1
\\NASSY\Music\Various Artist -  Punk Goes Pop (Volume 3)\11-the_ready_set-airplanes.mp3	-1
\\NASSY\Music\QUEENS OF THE STONE AGE - DISCOGRAPHY (1997-13) [CHANNEL NEO]\[2002] Songs For The Deaf\05 - The Sky Is Fallin'.mp3	-2
\\NASSY\Music\Rage Against The Machine\2002 - 30 For A Revolution\2002-CD1\04 - Mic Check.mp3	-1
\\NASSY\Music\Green Day Complete Official Discography (1990-2012) [WwW.LoKoTorrents.CoM]\Compilation (Official)\2001 - International Superhits\06. When I Come Around.mp3	5
\\NASSY\Music\Soundgarden\05 - Remasters\1990 - Screaming Life - Fopp [2013, Sub Pop, SP1065]\09. Fopp (Dub).mp3	-1
\\NASSY\Music\FOO FIGHTERS - DISCOGRAPHY (1995-14) [CHANNEL NEO]\[2002] One By One (Bonus Disc Edition)\10 - Burn Away.mp3	-1
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\Ozzy Osbourne - Greatest Hits 2CD (2009) 320 vtwin88cube\Disc 2\07. Breaking All The Rules.mp3	-1
\\NASSY\Music\Guns N' Roses - The Ultimate Best Of_2014\06. Welcome To The Jungle.mp3	2
\\NASSY\Music\NIRVANA DISCOGRAPHY @320Kbps CbR Mp3 [TuGAZx]\5 - MTV Unplugged In New York (1994)\08 - On A Plain.mp3	-1
\\NASSY\Music\Classic Rock Music - Compilation Mix - Playlist\Tom Petty And The Heartbreakers - Free Fallin'.mp3	1
\\NASSY\Music\The Smashing Pumpkins - Discografia\10. Greatest Hits  (2001)\Disc 1 (Rotten Apples)\05. The Smashing Pumpkins - Today.mp3	2
\\NASSY\Music\V.A.The.All.Time.Greatest.Rock.Songs.Of.The.60s.70s.80s.And.90s-TDG\Cd2-TDG\07.Knockin.On.Heaven's.Door.Bob.Dylan-TDG.mp3	1
\\NASSY\Music\The Smashing Pumpkins - Discografia\10. Greatest Hits  (2001)\Disc 1 (Rotten Apples)\15. The Smashing Pumpkins - The Everlasting Gaze.mp3	-2
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\Disc 1\09. Journey - Don't Stop Believin' (1981).mp3	1
\\NASSY\Music\Iron Maiden-Greatest Hits[www.lokotorrents.com][mp3]\CD2\11 - No More Lies .mp3	2
\\NASSY\Music\R.H.C.P.-Discography.1984-2013.MP3.320\7. Other Editions\1999 - Californication (2 Discs Australia Only)\CD 1\07. Easily.mp3	1
\\NASSY\Music\R.H.C.P.-Discography.1984-2013.MP3.320\4. Singles\1999 - Californication (Single)\01. Californication.mp3	99
\\NASSY\Music\The Offspring\2005 Greatest Hits\02-Come Out And Play.mp3	99
\\NASSY\Music\The Offspring\1994 Smash\07-Come Out And Play.mp3	-99
\\NASSY\Music\Smash Mouth - All Star Smash Hits [320 Kbps]\Smash Mouth - All Star.mp3	99
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\Disc 2\07. U2 - Sunday Bloody Sunday (1983).mp3	99
\\NASSY\Music\U2 - Discography\U2 - (1987) The Joshua Tree\03-With Or Without You.mp3	99
\\NASSY\Music\U2 - Discography\U2 - (1987) The Joshua Tree\02-I Still Haven't Found What I'm Looking For.mp3	99
\\NASSY\Music\U2 - Discography\U2 - (1998) The Best Of 1980-1990\10 - Sweetest Thing (The Single Mix).mp3	99
\\NASSY\Music\Classic Rock Music - Compilation Mix - Playlist\Eagles - Hotel California.mp3	99
\\NASSY\Music\Unorganized\Semisonic - Closing Time.mp3	99
\\NASSY\Music\Unorganized\07 - Spin Doctors - Two Princes.mp3	99
\\NASSY\Music\Bon Jovi - Greatest Hits - The Ultimate Collection [MP3-320][MJN]\CD1\01 - Livin' On a Prayer.mp3	5
